Rut;Nombre;Direccion;Direccion2;Ciudad;Pais;Contacto;Contacto2;Fax;Telefono
03467346-2;Juan Angel Urcola;Camino el Ovieto 3195;;Talagante;Chile;Jacqueline Torres;;;
04553135-K;FRANCISCO LOPEZ CARREÑO;Varas Mena # 435;;San Joaquin;Chile;Francisco López Carreño;;;
04724931-7;RODOLFO HARWARDT RABENKO;PLAYA RAQUEL N°452 CASA N°33;;PUERTO OCTAY;Chile;;;;
04860556-7;ERCIARIO SILVA CUADRA;FUNDO SANTA ISABEL KM 27 NOS SAN BERNARDO;;San Bernardo;Chile;CAROLINA;;;
05282206-8;CARLOS ACUÑA CARRASCO;VILLA RUCATREMO CLODOMIRO ROSAS 1191;;Curicó;Chile;CARLOS ACUÑA CARRASCO;;;75-2-223428
05862337-7;MARTIN MULLER ROTHGIESSER;3098    D702;;LAS CONDES;Chile;MARTIN;;;
05920758-K;JOSE MANUEL LANGER GIORDANO;LOS CIPRESES 2569;;LA PINTANA;Chile;;;;
05923303-3;Bernardita Valdés Vidal;Pedro Lagos 696;;San Bernardo;Chile;Pilar;;;9 98710647
06413942-8;RAMON OSORIO PEREZ;AV. EL SAUCE PARCELA 35 SINDEMPART;;COQUIMBO;Chile;;;;
06429234-K;Roberto Rand;Los Pimientos 4694/Valle Volcanes;;;Chile;Roberto Rand;;;94456519
06459804-K;Carlos Bañados;Circunvalación 1339 Villa San Miguel de Arcángel;;;Chile;;;;+56 9 92286132
06487178-1;RODRIGO GALLARDO DIAZ;PARROQUIA 1449;;SAN RAMON;Chile;;;;56-2 5250541
06561350-6;LUIS ALBERTO LOPEZ CASTRO;PASAJE MACKEHUE 1245 VILLA RAYEN;;PUERTO MONTT;Chile;;;;
06603835-1;Jaime Mauricio Jimenez Maulen;El Cobre 8447;;Pudahuel;Chile;;;;9 8657700
06605680-5;José Bustamante Cuevas;Anibal Pinto 895;;Quilpue;Chile;Joselyn;;;
06982751-9;JOSE MARIANO MONTEALEGRE ANDRADE;Demetrio Yanez 202;;ANCUD;Chile;;;;
07017844-3;HILTERHAUS UDO;VICTOR RAE # 5730;;Santiago;Chile;;;2-3609519;2-3609519
07149292-3;Andres Hohlberg Recabarren;CAMINO LA TAGUA 3632;;Lo Barnechea;Chile;;;;
07186401-4;Gisella Marín Sapiain;Fundo Casas Viejas-Pitama;;Casablanca-V Region;Chile;Pedro;;;
07635631-9;MANUEL OJEDA ASENCIO;LOS LEONES 963;;PUERTO MONTT;Chile;;;;
07646793-5;CARMELO MAYORGA MUÑOZ;KM 10 CAMINO YUNGAY;;;Chile;CARMELO MAYORGA MUÑOZ;;;
076798229-1;MOVITRUCK SPA;LAS CANCHAS ALTOBONITO SN;;PUERTO MONTT;Chile;ALEX;;;
07687893-5;EMMA ALVARADO OPAZO;LOS MANANTIALES #2239 MANUEL RODRIGUEZ;;OSORNO;Chile;EMMA;;;
07862597-K;VICTOR GONZALEZ OJEDA;ALTO BONITO S/N PARCELA 8 KM 1020;;Santiago;Chile;;;POR CORREO;65-528194
08234456-K;RODRIGO DIEZ MARTINEZ;CERRO COLORADO 4510, DPTO 184;;LAS CONDES;Chile;;;;
08321596-8;MASIS GIRAGOSSIAN LOTIKYAN;ORTUZAR Nº539 NUÑOA;;NUÑOA;Chile;;;;
08340946-0;Myriam Herrera Tapia;Ernesto Riquelme 755;;El Bosque;Chile;Fernando Saldías;;;25485513
08423194-0;ADRIANA DE LOURDES SOTO;VICENTE PEREZ ROSALES 167;;Santiago;Chile;;;65-255272;65-255272
08610088-6;MALVINA ORELLANA;VILLA LAS AMERICAS Nº170;;CHILLAN;Chile;;;;
08612524-2;Marcelo Werner Hechenlutner;Avda. Pdte.Ibañez 728;;;Chile;;;;
08641949-1;Montserrat lira;Antequera 8520;;Las Condes;Chile;Monserrat;;;223256174
08745566-1;JUAN ARCADIO AVENDAÑO BARRIENTOS;PASAJE DOS 268 11 DE SEPTIEMBRE;;Quellón;Chile;;;;
