Tipo;Nro;Fecha;OC;RCO;Rut;Direccion;Direccion_alterna;Medio_envio;Job;Condicion_venta;Localizacion;Cod_Impto;Vendedor;Certificados;Puerto_Embarque;Nave;Puerto_Destino;Clausula;Factura;Fecha_factura
O;4;2013-1-7;GEL 2013i00020;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;;USD;90 días Fecha Factura;;IVA_EXE;14;;;;;FOB;82;2013-1-31
O;16;2013-1-31;GEL 224;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;CIP;80;2013-1-31
O;71;2012-12-31;GEL 27653;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;;USD;30 días Fecha Factura;;IVA_EXE;5;;;;;;;
O;79;2012-12-31;GEL 27743;;32001402-6C;Benjamin Carrión E9-194 y Alfredo Luna Tobar Lotización La Armenia / Valle de los Chillos;QUITO;;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;;;
O;125;2013-1-28;GEL PO2012-001197;;34501603-1C;One Dag Hammarskjold Plaza 10017;New York;Aéreo;USD;30 días Fecha Factura;;IVA_EXE;-1;;;;;CIF;;
O;136;2013-1-9;GEL 2734;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;;21;2013-1-9
O;136;2013-1-9;GEL 2734;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;;28;2013-1-9
O;138;2013-1-9;GEL 2734 B;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;;29;2013-1-9
O;261;2013-2-5;GEL PO182/13;;35003702-0C;1F, NO.255, SEC 1,YUAN SHUI RD,YUANLIN, CHUNG HUA HSIEN, TAIWAN;Taiwan;;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;CIF;127;2013-2-12
O;263;2013-2-6;GEL CH 200/13;;35001601-5C;153,Ghaem Magham Farahani Ave, Suite No.3;Tehran;;EUR;30 días Fecha Factura;;IVA_EXE;6;;;;;CIF;172;2013-3-1
O;275;2013-2-8;GEL 028333;;36504501-1C;Unit 2, Galaxy Office Park, 17 Galaxy Ave Linbro Business Park;Sandton 2065;;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;CPT;;
O;282;2013-2-11;GEL 4600002349;;32002802-7C;AV. PRODUCCION NACIONAL 188 CHORRILLOS LIMA PERU RUC 20417378911;LIMA;;USD;90 días Fecha Factura;;IVA_EXE;14;;;;;FOB;276;2013-3-28
O;284;2013-2-12;GEL P337881 / P338522;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;;USD;30 días Fecha Factura;;IVA_EXE;2;;;;;FOB;428;2013-5-23
O;368;2013-2-7;GEL SHS-9158-0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;FOB;199;2013-3-7
