Tipo;Nro;Fecha;OC;RCO;Rut;Direccion;Direccion_alterna;Job;Condicion_venta;Localizacion;Cod_Impto;Vendedor;Certificados;Puerto_Embarque;Nave;Puerto_Destino;Clausula;Factura;Fecha_factura;EstadoOV;ETD_OV;ETA_OV;MedioDeEnvioFact;GtoAdicFlete
OV;3;2013-1-30;GEL 9090/0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;FOB;87;2013-1-30;Cerrada;;;;
OV;36;2013-1-2;GEL 2725;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;;1;2013-1-2;Cerrada;;;;
OV;69;2012-12-31;GEL P337507;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;USD;30 días Fecha Factura;;IVA_EXE;2;;;;;;126;2013-2-12;Cerrada;;;;
OV;129;2013-1-28;GEL 1992/13  I EMB;;32001404-2C;AV. MALDONADO S28-35(SECTOR GUAJALO);QUITO;USD;60 días Fecha Factura;;IVA_EXE;13;;;;;CFR;193;2013-3-6;Cerrada;;;;
OV;148;2013-1-9;GEL 2738;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;CIF;34;2013-1-9;Cerrada;;;;
OV;247;2013-2-4;GEL 4502122392;;32000701-1C;SAO BERNARDO DO CAMPO, SP RODOVIA ANCHIETA, KM 14, RUDGE RAMOS;RUDGE RAMOS;USD;45 días Fecha Factura;;IVA_EXE;1;;;;;CFR;273;2013-3-28;Cerrada;;;;
OV;261;2013-2-5;GEL PO182/13;;35003702-0C;1F, NO.255, SEC 1,YUAN SHUI RD,YUANLIN, CHUNG HUA HSIEN, TAIWAN;Taiwan;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;CIF;127;2013-2-12;Cerrada;;;;
OV;276;2013-2-8;GEL CH 207/13;;36500201-0C;ROUTE BOUSMAIL LOTS BELHAOU ANE N 24 KOLEA TIPAZA ALGERIE;ALGERIE;USD;30 días Fecha Factura;;IVA_EXE;6;;;;;CFR;211;2013-3-11;Cerrada;;;;
OV;279;2013-2-11;GEL 4600002348;;32002802-7C;AV. PRODUCCION NACIONAL 188 CHORRILLOS LIMA PERU RUC 20417378911;LIMA;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;;FOB;225;2013-3-12;Cerrada;;;Marítimo;
OV;291;2013-2-12;GEL 4500006034;;32000703-8C;RUA PORFIRIO HERDEIRO 58 TABOAO DA SERRA;S.P.;USD;75 días Fecha Factura NO USAR;;IVA_EXE;3;;;;;FOB;185;2013-3-4;Cerrada;;;;
OV;416;2013-2-25;GEL P157967-00;;32001101-9C;200M. Este del Banco Nacional;SAN JOSE DE COSTA RICA;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;FOB;227;2013-3-12;Cerrada;;;Marítimo;
OV;444;2013-2-27;GEL PROFORMA 215;;33002407-0C;Calle San Luis Tlatilco 6-A Col. San Luis Tlatilco;CP. 53630, Naucalpan, Edo de  Mexico;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;CIF;165;2013-2-27;Cerrada;;;;
OV;456;2013-2-28;GEL PROFORMA 207;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;CIF;169;2013-2-28;Cerrada;;;;
OV;505;2013-3-8;GEL 028680;;36504501-1C;Unit 2, Galaxy Office Park, 17 Galaxy Ave Linbro Business Park;Sandton 2065;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;;233;2013-3-19;Cerrada;;;;
OV;506;2013-3-8;GEL SHS-9169-0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;;270;2013-3-22;Cerrada;;;;
OV;552;2013-3-18;GEL PO189/13;;35000801-2C;No.9, Beitucheng West Rd., Chaoyang District;BEIJING;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;;302;2013-4-9;Cerrada;;;;
OV;560;2013-3-19;GEL A5694;;34501601-5C;6299 ROUTE 9N;ROUTE 9N;USD;45 días Fecha Factura;;IVA_EXE;5;;;;;;417;2013-5-9;Cerrada;;;;
OV;589;2013-3-22;GEL 01/2013;;32001901-KC;7º AV. 9-36 ZONA 2;GUATEMALA;USD;60 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;GUAYAQUI;;375;2013-4-22;Cerrada;;;Marítimo;
