Tipo;Nro;Linea;Factura;Localizacion;Item;Descripcion;Cant_ordenada;Cant_enviada;Precio_Unit;Comentario;Mercado;Embalaje;Volumen;Etiqueta;Kto_Etiqueta5;ETD_Item_OV;ETA_Item_OV;KilosFacturados
OV;454;1;12569;M01;Flete Exportacion;Flete Exportacion;1.000000;1.000000;2.000000;;US;;.000000;;;;;1.000000
OV;456;0;12571;M01;PFCLDIC05350;CARRALACT DIC 5350;100.000000;100.000000;14.100000;;US;;.000000;;;;;100.000000
OV;369;0;12586;P01;PFCGMCH05370;CARRAGEL MCH 5370;6000.000000;6000.000000;6.850000;;LA;25KG SACOS GELYMAR;.000000;;;;;6000.000000
OV;258;0;12599;T80;PFCSTTP05342;CARRASOL TTP 5342;100.000000;100.000000;17.120000;;LA;SACOS GELYMAR;25.000000;;;;;100.000000
OV;417;1;12601;P01;PFCSTTP05342;CARRASOL TTP 5342;25.000000;25.000000;18.500000;;LA;25KG SACOS GELYMAR;.000000;;;;;25.000000
OV;36;0;12362;M01;PFCGMCH05306;CARRAGEL MCH 5306;75.000000;75.000000;8.700000;;US;sacos;25.000000;;;;;75.000000
OV;416;3;12628;P01;PFCLDCM05299;CARRALACT DCM 5299;50.000000;50.000000;12.420000;;LA;;.000000;;;;;50.000000
OV;504;2;12686;P01;PFCGMCH05320;CARRAGEL MCH 5320;3000.000000;3000.000000;6.500000;;LA;SACOS GELYMAR;25.000000;;;;;3000.000000
OV;504;7;12686;P01;PFCLDCR03220;CARRALACT DCR 3220;100.000000;100.000000;13.550000;;LA;SACOS GELYMAR;25.000000;;;;;100.000000
OV;282;0;12688;P01;PFCSTTP05341;CARRASOL TTP 5341;3000.000000;3000.000000;17.670000;;LA;SACOS GELYMAR;.000000;OC 4600002349 ITDC;;;;3000.000000
OV;651;0;12804;P01;PFCGMCH05542;CARRA GEL MCH 5542;10005.000000;10005.000000;7.200000;;EU;SACOS BLANCOS;14.930000;;;;;10005.000000
OV;621;0;12741;P01;PFCLDCM05298;CARRALACT DCM 5298;50.000000;50.000000;23.700000;;LA;cajas gelymar;.000000;;;;;50.000000
OV;608;2;12760;P01;PFGGGUM08215;GELY GUM 8215;1000.000000;1000.000000;12.380000;;AS;;.000000;;;;;1000.000000
OV;691;0;30355;P01;PFCGMCH05587;CARRAGEL MCH 5587;20000.000000;20000.000000;7345.000000;;DUP;SACOS GELYMAR;25.000000;PO 4500943776;;;;20000.000000
OV;637;0;12885;P01;PFCLDCM02457;CARRA CM;5000.000000;5000.000000;15.290000;;US;SACOS GELYMAR;25.000000;514307;;;;5000.000000
OV;720;0;12890;P01;PFCLMGS00016;NAMALACT MGS16;2500.000000;2500.000000;13.650000;;LA;CUÑETE;62.500000;;;;;2000.000000
OV;726;4;100128;P01;PFCLDCM05452;CARRALACT DCM 5452;200.000000;200.000000;13.490000;;LA;SACOS GELYMAR;25.000000;;;;;200.000000
OV;692;1;100134;P01;PFCGMCH05722;CARRAGEL MCH 5722;10000.000000;10000.000000;5.750000;;EU;SACOS GELYMAR;25.000000;;;;;10000.000000
OV;733;3;100136;P01;PFCLPPD05386;CARRALACT PPD 5386;500.000000;500.000000;11.590000;;LA;sacos gelymar;11.590000;;;;;500.000000
OV;766;0;12898;P01;PFCSTP002067;CARRASOL TP 2067;5000.000000;5000.000000;13.840000;;CO;SACOS GELYMAR;25.000000;;;;;5000.000000
OV;855;0;100445;P01;PFCSTP002067;CARRASOL TP 2067;9000.000000;10000.000000;13.840000;;CO;SACOS GELYMAR;25.000000;4502177248-10;;;;10000.000000
OV;877;4;100471;P05;PFCGMCH05768;NAMAGEL MCH 5768;500.000000;500.000000;7.500000;;LA;SACOS GELYMAR;25.000000;SHS-9421-2-BAIRES;;;;500.000000
OV;835;0;30689;P01;PFCGMCH05587;CARRAGEL MCH 5587;20000.000000;20000.000000;14.670000;;DUP;SACOS GELYMAR;25.000000;4500977861;;;;8000.000000
OV;805;0;100547;P01;PFEGAKVL;CARRAGEENAN EXTRACT AKI;18000.000000;18000.000000;18.170000;;DUP;MAXISACOS;1000.000000;4600149339-1;;;;18000.000000
OV;888;0;100500;P01;PFCLDCM05298;CARRA LACT DCM 5298;1000.000000;1000.000000;13.490000;;AS;SACOS GELYMAR;25.000000;;;;;1000.000000
OV;888;5;100500;P01;PFCLDDE03351;CARRA LACT DDE 3351;2000.000000;2000.000000;12.010000;;AS;SACOS GELYMAR;25.000000;;;;;2000.000000
OV;880;2;100508;P01;PFCLDCM05298;CARRALACT DCM 5298;1500.000000;1500.000000;14.380000;;LA;SACOS GELYMAR;25.000000;VER ABAJO;;;;1500.000000
OV;880;4;100508;P01;PFCGPWJ03118;CARRAGEL PWJ 3118;50.000000;50.000000;11.900000;;LA;SACOS GELYMAR;25.000000;VER ABAJO;;;;50.000000
OV;880;5;100508;P01;PFCLDCM05452;CARRALACT DCM 5452;200.000000;200.000000;13.490000;;LA;SACOS GELYMAR;25.000000;VER ABAJO;;;;200.000000
OV;880;7;100508;P01;PFGGGUM07262;GELY GUM 7262;50.000000;50.000000;7.200000;;LA;SACOS GELYMAR;25.000000;VER ABAJO;;;;50.000000
OV;913;0;100530;P01;PFGGGUM07266;GELY GUM 7266;25.000000;25.000000;5.400000;;OC;CAJA GELYMAR;25.000000;;;;;25.000000
OV;913;0;100533;P01;PFGGGUM07266;GELY GUM 7266;25.000000;25.000000;5.400000;;OC;CAJA GELYMAR;25.000000;;;;;25.000000
