Item;Descripcion_1;Descripcion_2;Unidad_medida
10001001;ACIDO FORMICO;;UN
10001003;ACIDO ACETICO;;UN
10001004;ACIDO CLORHIDRICO FUMANTE 37%;;UN
10001005;ACEITE INMERSION P/MICROSCOPIA;;LT
10001007;ACIDO SULFURICO;;UN
10001008;ACIDO NITRICO;;UN
10002003;AGAR PATATA GLUCOSA;;UN
10002004;AGAR PLATE COUNT;;UN
10002005;AGAR R2A PARA MICROBIOLOGIA;;UN
10003001;AGUA PEPTONA TAMP. P/MICROBIOL;;UN
10003002;AGUA PARA HPLC;;LT
10004001;ALCOHOL GEL;;LT
10005001;ALGODON HIDROFOBO;;KG
10006003;ANALISIS DE CADMIO;;UN
10006004;ANALISIS DE HONGOS Y LEVADURA;;UN
10006005;ANALISIS DETERM. ARSENICO;;UN
10006006;ANALISIS DETERMINACION PLOMO;;UN
10006009;ANALISIS METALES PESADOS;;UN
10006010;ANALISIS PROTEINAS;;UN
10006011;ANALISIS RECUENTO TOTAL 35º;;UN
10006013;ANALISIS SALMONELLA;;UN
10006015;ANALISIS DETERMINACION CALCIO;;UN
10006016;ANALISIS DETERMINACION POTASIO;;UN
10006017;ANALISIS DETERMINACION SODIO;;UN
10006018;ANALISIS DETERMINAC. MAGNESIO;;UN
10006019;ANALISIS CLORURO;;UN
10006022;ANALIS.DET.TERMOFILOS ESPORUL.;;UN
10006023;ANALISIS DETERMINACION COBRE;;UN
10006024;ANALISIS DETERMINACION ZINC;;UN
10006025;ANALISIS DETERM. MERCURIO;;UN
10006027;ANALISIS LABORATORIO;;UN
10013001;BATIDORA BLACK & DECKER;;UN
10014002;FRASCO REDONDO 1/2 LITRO;;UN
10014003;FRASCO CUADRADO 1 LITRO;;UN
10014004;FRASCO CUADRADO 11/2 LITRO;;UN
10016001;CARBONATE CHLORIDE;;KG
10019001;CINTA ESTERIL P/AUTOCLAVE;;UN
10019003;CINTA ENGOMADA;;UN
10019005;CUBREOBJETOS;;UN
10020001;CRISOL DE PORCELANA;;UN
10023001;ELECTRODO COMBINADO PARA PH;;UN
10023002;SONDA CILINDRICA;;UN
10025001;ESPATULA;;UN
10026001;ETANOL ABSOLUTO P.A. ACS ISO;;UN
10027002;SULFANILAMIDA;;UN
10027003;AMONIO Y HIERRO SULFATO;;UN
10031002;MICROPIPETA BRAND TRANS. DIGIT;;UN
10032001;OLLA PRESION PRESTO REGAL 7 LT;;UN
10033002;PIPETAS GRADUADAS 10 ML;;UN
10033004;PIPETAS GRADUADAS 5 ML;;UN
10034002;CAPSULA PETRI;;UN
10034003;PIPETA PASTEUR CON ALGODON VWR;;UN
10035001;PLACA P/RECUENTO TOTAL DE B;;UN
10035003;PLACA RECUENTO HONGOS LEVADURA;;UN
10036002;VIDRIO RELOJ PYREX;;UN
10037002;NAVECILLAS POLIESTIRENO;;UN
10037004;PROBETA GRADUADA 100 ML;;UN
10037007;FRASCO P/DIL TAPA ROSCA 250 ML;;UN
10037008;FRASCO P/DIL TAPA ROSCA 500 ML;;UN
10040001;REACTIVO CLORO LIBRE;;UN
10043001;SODIO NITRATO;;ML
10044001;SOLUCION LLENADO PH FCO 60 ML;;ML
10044002;SOLUCION BUFFER PH;;ML
10045002;STANDARD PRIM.TURBIEDAD 40 NTU;;UN
10046002;TERMOMETRO DIG BOLSILLO 50;;UN
10046009;SENSOR;;UN
10046011;BARRA MAGNETICA TEFLON;;UN
10046012;TERMOMETRO QUIMICO;;UN
10048000;TITRISOL;;UN
10048002;TITRISOL P/HIDROXIDO DE SODIO;;UN
10048004;TITRISOL NITRATO DE PLATA 1N;;UN
10049001;TORULAS TUBO ESTERIL GREINER;;UN
10050001;TUBO DE ENSAYO;;UN
10051002;VASO PP 1000 ML PLASTICO;;UN
10051005;VASO PP 250 ML SCHOTT;;UN
10051006;VASO PP 300 ML SCHOTT;;UN
10051007;VASO PP 600 ML;;UN
10051008;VASO PLASTICO 120 CC;;UN
10051009;FRASCO TAPA ROSCA AZUL;;UN
10051010;MATRAZ ERLENMEYER;;UN
10051012;TIMER;;UN
10051013;FRASCO VIAL DE VIDRIO;;UN
10054001;JARROS GRADUADOS CON ASA;;UN
10055001;BOLSAS PLASTICAS;;UN
10055002;PAPEL PARAFILM;;UN
10056001;"TAMIZ 8"""" MALLA 30";;UN
10056002;"TAMIZ 8"""" MALLA 70";;UN
10056003;"TAMIZ 8"""" MALLA 100";;UN
10056005;"TAMIZ 8"""" MALLA 200";;UN
10056008;"TAMIZ 8"""" MALLA 325";;UN
10057001;PROPIPETAS;;UN
10057002;PIZETA POLIETILENO;;UN
10057003;ALMIDON AL 1%;;UN
10057004;POTASIO YODURO P.A.;;UN
10057005;GLUCONA DELTA LACTONA;;UN
10057010;CALCIO CLORURO 2-HID P.A;;UN
20001007;telas;;UN
20001013;MANGO FIBRA Y ACERO;;UN
20001015;ESCOBA;;UN
20001016;CEPILLO AMARILLO;;UN
20001020;FILTROS;;UN
20001023;AGUJA P/MAQUINA COSER;;UN
20001030;FUMISPORE;;UN
30001001;ARCHIVADOR MEDIO CARTA ANCHO;;UN
30001002;ARCHIVADOR TAM. CARTA ANCHO;;UN
30001004;ARCHIVADOR OFICIO ANCHO;;UN
30001006;ARCHIVADOR VINILICO TAM.CARTA;;UN
30001007;ARCHIVADOR VINILICO TAM.OFICIO;;UN
30001009;LOMOS AZULES ADETEC ARCH.ANCHO;;UN
30001010;LOMOS BEIGE ADETEC ARCH.ANGOST;;UN
30001011;SEPARADOR ABC CARTA;;UN
30001013;SEPARADOR ABC OFICIO;;UN
